항목명,아이콘 파일명
비장한 각오의 귀걸이,비장한_각오의_귀걸이
비장한 각오의 목걸이,비장한_각오의_목걸이
비장한 각오의 반지,비장한_각오의_반지
빙하의 숨결,빙하의_숨결
빙하의 숨결 (귀속),빙하의_숨결_(귀속)
상급 깨달음 포인트 물약,상급_깨달음_포인트_물약
상급 아비도스 융화 재료,상급_아비도스_융화_재료
선원지원서 라티나,선원지원서_라티나
선원지원서 바라트,선원지원서_바라트
선원지원서 베럴드,선원지원서_베럴드
선원지원서 빌헬름,선원지원서_빌헬름
선원지원서 아나벨,선원지원서_아나벨
선원지원서 은광,선원지원서_은광
선원지원서 푸푸링,선원지원서_푸푸링
선혈의 조각,선혈의_조각
설치물 늠름한 신수상,설치물_늠름한_신수상
설치물 우아한 신수상,설치물_우아한_신수상
설치물 위엄있는 신수상,설치물_위엄있는_신수상
세베크 아툰의 용암,세베크_아툰의_용암
수라도 섬의 마음,수라도_섬의_마음
수신 아포라스 카드,수신_아포라스_카드
수호,수호
수호석 조각,수호석_조각
숲의 미뉴에트,숲의_미뉴에트
스노우팡 아일랜드 섬의 마음,스노우팡_아일랜드_섬의_마음
스타우트 인형탈,스타우트_인형탈
스피다 섬의 마음,스피다_섬의_마음
실링,실링
실마엘 수정,실마엘_수정
아드린느 카드,아드린느_카드
아비도스 융화 재료,아비도스_융화_재료
알라케르 섬의 마음,알라케르_섬의_마음
압도,압도
야금술 : 업화 [11-14],야금술_업화_[11-14]
야금술 : 업화 [15-18],야금술_업화_[15-18]
야금술 : 업화 [19-20],야금술_업화_[19-20]
에라스모 카드,에라스모_카드
에라스모의 섬의 마음,에라스모의_섬의_마음
에일 인형탈,에일_인형탈
영혼의 잎사귀,영혼의_잎사귀
용암의 숨결,용암의_숨결
용암의 숨결 (귀속),용암의_숨결_(귀속)
우거진 갈대의 섬의 마음,우거진_갈대의_섬의_마음
운명의 돌,운명의_돌
운명의 돌파석,운명의_돌파석
운명의 수호석,운명의_수호석
운명의 수호석 결정,운명의_수호석_결정
운명의 파괴석,운명의_파괴석
운명의 파괴석 결정,운명의_파괴석_결정
운명의 파편 주머니(대),운명의_파편_주머니(대)
운명의 파편 주머니(소),운명의_파편_주머니(소)
운명의 파편 주머니(중),운명의_파편_주머니(중)
위대한 미술품 #16,위대한_미술품_#16
위대한 미술품 #26,위대한_미술품_#26
위대한 미술품 #42,위대한_미술품_#42
위대한 미술품 #47,위대한_미술품_#47
위대한 미술품 #51,위대한_미술품_#51
위대한 운명의 돌파석,위대한_운명의_돌파석
유물 어빌리티 스톤,유물_어빌리티_스톤
잔혹한 장난감 성 섬의 마음,잔혹한_장난감_성_섬의_마음
잠자는 노래의 상자,잠자는_노래의_상자
잠자는 노래의 섬의 마음,잠자는_노래의_섬의_마음
장인의 야금술 1단계,장인의_야금술_1단계
장인의 야금술 2단계,장인의_야금술_2단계
장인의 야금술 3단계,장인의_야금술_3단계
장인의 야금술 4단계,장인의_야금술_4단계
장인의 재봉술 1단계,장인의_재봉술_1단계
장인의 재봉술 2단계,장인의_재봉술_2단계
장인의 재봉술 3단계,장인의_재봉술_3단계
장인의 재봉술 4단계,장인의_재봉술_4단계
재봉술 업화 [11-14],재봉술_업화_[11-14]
재봉술 업화 [15-18],재봉술_업화_[15-18]
재봉술 업화 [19-20],재봉술_업화_[19-20]
전설~고급 카드팩,전설_~_고급_카드_팩_III
전설~고급 카드팩,전설_~_고급_카드_팩_IV
전설~희귀 카드팩,전설_~_희귀_카드_팩_III
전설~희귀 카드팩,전설_~_희귀_카드_팩_IV
전설 카드팩 (확률),전설_카드_팩_III
전설 카드팩 (확률),전설_카드_팩_IV
전투 각인서,전투_각인서
정령의 선물,정령의_선물
정제된 수호강석,정제된_수호강석
정제된 파괴강석,정제된_파괴강석
조사용 토끼발 망치,조사용_토끼발_망치
조화로운 소리의 상자,조화로운_소리의_상자
죽음의 협곡 섬의 마음,죽음의_협곡_섬의_마음
중독,중독
즐거운 눈싸움 기념 주머니,즐거운_눈싸움_기념_주머니
지스브로이 섬의 마음,지스브로이_섬의_마음
질서의 젬 견고,질서의_젬_견고
질서의 젬 불변,질서의_젬_불변
질서의 젬 안정,질서의_젬_안정
집중,집중
천 년 나무의 싹,천_년_나무의_싹
천상의 하모니,천상의_하모니
철벽,철벽
첫 번째 크림스네일의 해도 조각#3,첫_번째_크림스네일의_해도_조각#3
체력 증가 물약,체력_증가_물약
출혈,출혈
쿵덕쿵 아일랜드 섬의 마음,쿵덕쿵_아일랜드_섬의_마음
크림스네일의 동전,크림스네일의_동전
탈것 근두운,탈것_근두운
탈것 길들인 붉은 야생 늑대,탈것_길들인_붉은_야생_늑대
탈것 붉은 갈기 늑대,탈것_붉은_갈기_늑대
태산,태산
태양의 가호,태양의_가호
태양의 가호 (귀속),태양의_가호_(귀속)
태양의 은총 (귀속),태양의_은총_(귀속)
태양의 축복 (귀속),태양의_축복_(귀속)
태초의 섬 3레벨 보석 상자,태초의_섬_3레벨_보석_상자
태초의 섬 5레벨 보석 상자,태초의_섬_5레벨_보석_상자
태초의 섬 강화 재료 선택 상자 I,태초의_섬_강화_재료_선택_상자_I
태초의 섬 강화 재료 선택 상자 II,태초의_섬_강화_재료_선택_상자_II
태초의 섬 빛나는 보석 상자,태초의_섬_빛나는_보석_상자
태초의 섬 재련 도움 상자,태초의_섬_재련_도움_상자
태초의 섬 재련 보조 선택 상자,태초의_섬_재련_보조_선택_상자
태초의 섬 재련재료 꾸러미 I,태초의_섬_재련재료_꾸러미_I
태초의 섬 재련재료 꾸러미 II,태초의_섬_재련재료_꾸러미_II
태초의 섬 재련재료 꾸러미 III,태초의_섬_재련재료_꾸러미_III
태초의 섬 재련재료 꾸러미 IV,태초의_섬_재련재료_꾸러미_IV
태초의 섬 재련재료 꾸러미 V,태초의_섬_재련재료_꾸러미_V
태초의 섬 참여 보상 상자,태초의_섬_참여_보상_상자
태초의 섬의 마음,태초의_섬의_마음
탱글탱글한 복숭아,탱글탱글한_복숭아
투명한 소리의 상자,투명한_소리의_상자
파괴석 조각,파괴석_조각
포르페 섬의 마음,포르페_섬의_마음
풍요,풍요
하모니 섬의 마음,하모니_섬의_마음
해적 주화,해적_주화
향기로운 소리의 상자,향기로운_소리의_상자
혼돈의 돌,혼돈의_돌
혼돈의 젬 붕괴,혼돈의_젬_붕괴
혼돈의 젬 왜곡,혼돈의_젬_왜곡
혼돈의 젬 침식,혼돈의_젬_침식
환각의 섬의 마음,환각의_섬의_마음
환영 나비 섬의 마음,환영_나비_섬의_마음
황혼의 레퀴엠,황혼의_레퀴엠
