구분,이름,난이도,관문,보상,골드,운명의 파괴석,운명의 수호석,운명의 파괴석 결정,운명의 수호석 결정,운명의 돌파석,위대한 운명의 돌파석,운명의 파편,야금술 : 쇠락 [16-19],재봉술 : 쇠락 [16-19],야금술 : 업화 [11-14],재봉술 : 업화 [11-14],야금술 : 업화 [15-18],재봉술 : 업화 [15-18],야금술 : 업화 [19-20],재봉술 : 업화 [19-20],장인의 야금술 : 1단계,장인의 재봉술 : 1단계,장인의 야금술 : 2단계,장인의 재봉술 : 2단계,장인의 야금술 : 3단계,장인의 재봉술 : 3단계,장인의 야금술 : 4단계,장인의 재봉술 : 4단계,운명의 돌,순환 돌파석,전이 돌파석,아그리스의 비늘,알키오네의 눈,베히모스의 비늘,업화의 쐐기돌,카르마의 잔영,낙뢰의뿔,우뢰의 뇌옥,고통의 가시
카제로스 레이드,1막 (에기르),하드,2,더보기,-4150,940,1880,,,31,,8930,,,,,,,,,,,,,,,,,,9,,,,,12,,,,
카제로스 레이드,2막 (아브렐슈드),노말,1,클리어,5500,540,1080,,,5,,4000,,,,,,,,,,,,,,,,,,,,,,,,4,,,
카제로스 레이드,2막 (아브렐슈드),노말,1,더보기,-1820,610,1220,,,13,,5220,,,,,,,,,,,,,,,,,,,,,,,,4,,,
카제로스 레이드,2막 (아브렐슈드),노말,2,클리어,11000,640,1280,,,6,,4600,0.25,0.75,,,,,,,,,,,,,,,4,11,,,,,,6,,,
카제로스 레이드,2막 (아브렐슈드),노말,2,더보기,-3720,810,1620,,,21,,8060,,,,,,,,,,,,,,,,,,7,,,,,,6,,,
카제로스 레이드,2막 (아브렐슈드),하드,1,클리어,7500,640,1280,,,7,,4600,,,,,,,,,,,,,,,,,,,,,,,,8,,,
카제로스 레이드,2막 (아브렐슈드),하드,1,더보기,-2400,720,1440,,,30,,6000,,,,,,,,,,,,,,,,,,,,,,,,8,,,
카제로스 레이드,2막 (아브렐슈드),하드,2,클리어,15500,700,1400,,,8,,6000,,,0.25,0.75,,,,,,,,,,,,,6,13,,,,,,12,,,
카제로스 레이드,2막 (아브렐슈드),하드,2,더보기,-5100,1320,2640,,,50,,10590,,,,,,,,,,,,,,,,,,9,,,,,,12,,,
카제로스 레이드,3막 (모르둠),노말,1,클리어,4000,320,640,,,4,,2600,,,,,,,,,,,,,,,,,,,,,,,,,3,,
카제로스 레이드,3막 (모르둠),노말,1,더보기,-1300,390,1000,,,12,,3680,,,,,,,,,,,,,,,,,,,,,,,,,3,,
카제로스 레이드,3막 (모르둠),노말,2,클리어,7000,400,800,,,4,,3000,,,,,,,,,,,,,,,,,,,,,,,,,5,,
카제로스 레이드,3막 (모르둠),노말,2,더보기,-2350,530,1240,,,15,,4750,,,,,,,,,,,,,,,,,,,,,,,,,5,,
카제로스 레이드,3막 (모르둠),노말,3,클리어,10000,520,1040,,,6,,4200,,,,,,,,,0.25,0.75,,,,,,,5,11,,,,,,,10,,
카제로스 레이드,3막 (모르둠),노말,3,더보기,-3360,780,1680,,,21,,6810,,,,,,,,,,,,,,,,,,7,,,,,,,10,,
카제로스 레이드,3막 (모르둠),하드,1,클리어,5000,440,880,,,6,,3400,,,,,,,,,,,,,,,,,,,,,,,,,,3,
카제로스 레이드,3막 (모르둠),하드,1,더보기,-1650,600,1200,,,23,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,3,
카제로스 레이드,3막 (모르둠),하드,2,클리어,8000,520,1040,,,6,,4000,,,,,,,,,,,,,,,,,,,,,,,,,,5,
카제로스 레이드,3막 (모르둠),하드,2,더보기,-2640,830,1660,,,27,,7200,,,,,,,,,,,,,,,,,,,,,,,,,,5,
카제로스 레이드,3막 (모르둠),하드,3,클리어,14000,640,1280,,,8,,5600,,,,,,,,,,,0.25,0.75,,,,,7,15,,,,,,,,10,
카제로스 레이드,3막 (모르둠),하드,3,더보기,-4060,1460,2920,,,45,,11760,,,,,,,,,,,,,,,,,,10,,,,,,,,10,
카제로스 레이드,4막 (아르모체),노말,1,클리어,12500,820,1640,,,9,,5400,,,,,,,,,,,,,,,,,,,,,,,,,,,
카제로스 레이드,4막 (아르모체),노말,1,더보기,-4000,1400,2800,,,44,,11880,,,,,,,,,,,,,,,,,,,,,,,,,,,
카제로스 레이드,4막 (아르모체),노말,2,클리어,20500,960,1920,,,12,,6800,,,,,,,,,,,0.25,0.75,,,,,7,15,,,,,,,,,
카제로스 레이드,4막 (아르모체),노말,2,더보기,-6560,2400,4800,,,78,,20160,,,,,,,,,,,,,,,,,,10,,,,,,,,,
카제로스 레이드,4막 (아르모체),하드,1,클리어,15000,980,1960,,,11,,6800,,,,,,,,,,,,,,,,,,,,,,,,,,,
카제로스 레이드,4막 (아르모체),하드,1,더보기,-4800,1680,3360,,,53,,14250,,,,,,,,,,,,,,,,,,,,,,,,,,,
카제로스 레이드,4막 (아르모체),하드,2,클리어,27000,1150,2300,,,16,,8600,,,,,0.25,0.75,,,,,,,,,,,9,19,,,,,,,,,
카제로스 레이드,4막 (아르모체),하드,2,더보기,-8640,2880,5760,,,94,,24200,,,,,,,,,,,,,,,,,,13,,,,,,,,,
카제로스 레이드,종막 (카제로스),노말,1,클리어,14000,880,1760,,,12,,6200,,,,,,,,,,,,,,,,,,,,,,,,,,,
카제로스 레이드,종막 (카제로스),노말,1,더보기,-4480,1610,3220,,,50,,13650,,,,,,,,,,,,,,,,,,,,,,,,,,,
카제로스 레이드,종막 (카제로스),노말,2,클리어,26000,1100,2200,,,15,,7900,,,,,0.25,0.75,,,,,,,,,,,8,17,,,,,,,,,
카제로스 레이드,종막 (카제로스),노말,2,더보기,-8320,2760,5520,,,90,,23200,,,,,,,,,,,,,,,,,,12,,,,,,,,,
카제로스 레이드,종막 (카제로스),하드,1,클리어,17000,,,385,770,,7,8300,,,,,,,,,,,,,,,,,,,,,,,,,,,
카제로스 레이드,종막 (카제로스),하드,1,더보기,-5440,,,750,1500,,30,17500,,,,,,,,,,,,,,,,,,,,,,,,,,,
카제로스 레이드,종막 (카제로스),하드,2,클리어,35000,,,475,950,,10,10100,,,,,,,0.25,0.75,,,,,,,,,10,,5,,,,,,,,
카제로스 레이드,종막 (카제로스),하드,2,더보기,-11200,,,1320,2640,,50,29800,,,,,,,,,,,,,,,,,,,4,,,,,,,,
그림자 레이드,세르카,노말,1,클리어,14000,880,1760,,,12,,6200,,,,,,,,,,,,,,,,,,,,,,,,,,,
그림자 레이드,세르카,노말,1,더보기,-4480,1610,3220,,,50,,13650,,,,,,,,,,,,,,,,,,,,,,,,,,,
그림자 레이드,세르카,노말,2,클리어,21000,1100,2200,,,15,,7900,,,,,,,,,,,,,0.25,0.75,,,8,17,,,,,,,,,
그림자 레이드,세르카,노말,2,더보기,-6720,2480,4960,,,82,,20880,,,,,,,,,,,,,,,,,,12,,,,,,,,,
그림자 레이드,세르카,하드,1,클리어,17500,,,385,770,,7,8300,,,,,,,,,,,,,,,,,,,,,,,,,,,10
그림자 레이드,세르카,하드,1,더보기,-5600,,,750,1500,,30,17500,,,,,,,,,,,,,,,,,,,,,,,,,,,10
그림자 레이드,세르카,하드,2,클리어,26500,,,475,950,,10,10100,,,,,,,,,,,,,,,0.25,0.75,10,,5,,,,,,,,15
그림자 레이드,세르카,하드,2,더보기,-8480,,,1130,2260,,45,26820,,,,,,,,,,,,,,,,,,,4,,,,,,,,15
그림자 레이드,세르카,나이트메어,1,클리어,21000,,,405,810,,8,9100,,,,,,,,,,,,,,,,,,,,,,,,,,,10
그림자 레이드,세르카,나이트메어,1,더보기,-6720,,,860,1720,,36,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,10
그림자 레이드,세르카,나이트메어,2,클리어,33000,,,500,1000,,12,11000,,,,,,,,,,,,,,,0.25,0.75,10,,6,,,,,,,,15
그림자 레이드,세르카,나이트메어,2,더보기,-10560,,,1430,2860,,60,32200,,,,,,,,,,,,,,,,,,,5,,,,,,,,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
